Employee ID,Name,Salary,Hire Date,Department
145,John Russell,14000,2004-10-01,Sales
146,Karen Partners,13500,2005-01-05,Sales
147,Alberto Errazuriz,12000,2005-03-10,Sales
148,Gerald Cambrault,11000,2007-10-15,Sales
149,Eleni Zlotkey,10500,2008-01-29,Sales
151,David Bernstein,9500,2005-03-24,Sales
152,Peter Hall,9000,2005-08-20,Sales
153,Christopher Olsen,8000,2006-03-30,Sales
154,Nanette Cambrault,7500,2006-12-09,Sales
155,Oliver Tuvault,7000,2007-11-23,Sales
156,Janette King,10000,2004-01-30,Sales
157,Patrick Sully,9500,2004-03-04,Sales
158,Allan McEwen,9000,2004-08-01,Sales
159,Lindsey Smith,8000,2005-03-10,Sales
160,Louise Doran,7500,2005-12-15,Sales
161,Sarath Sewall,7000,2006-11-03,Sales
162,Clara Vishney,10500,2005-11-11,Sales
163,Danielle Greene,9500,2007-03-19,Sales
164,Mattea Marvins,7200,2008-01-24,Sales
165,David Lee,6800,2008-02-23,Sales
166,Sundar Ande,6400,2008-03-24,Sales
167,Amit Banda,6200,2008-04-21,Sales
168,Lisa Ozer,11500,2005-03-11,Sales
169,Harrison Bloom,10000,2006-03-23,Sales
170,Tayler Fox,9600,2006-01-24,Sales
171,William Smith,7400,2007-02-23,Sales
172,Elizabeth Bates,7300,2007-03-24,Sales
173,Sundita Kumar,6100,2008-04-21,Sales
174,Ellen Abel,11000,2004-05-11,Sales
175,Alyssa Hutton,8800,2005-03-19,Sales
176,Jonathon Taylor,8600,2006-03-24,Sales
177,Jack Livingston,8400,2006-04-23,Sales
179,Charles Johnson,6200,2008-01-04,Sales
150,Peter Tucker,10000,2005-01-30,Sales
